x,Actual,Approx,AbsError,RelErrorPercent
1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000
1.000000e-01,3.162278e-01,3.162278e-01,1.012212e-09,0.000000
1.000000e-02,1.000000e-01,1.000000e-01,3.928174e-09,0.000004
1.000000e-03,3.162278e-02,3.162276e-02,1.288382e-08,0.000041
1.000000e-04,1.000000e-02,9.949357e-03,5.064252e-05,0.506425
1.000000e-05,3.162278e-03,1.581076e-03,1.581202e-03,50.002000
1.000000e-06,1.000000e-03,1.581076e-04,8.418924e-04,84.189244
1.000000e-07,3.162278e-04,1.581076e-05,3.004170e-04,95.000200
1.000000e-08,1.000000e-04,1.581076e-06,9.841892e-05,98.418924
1.000000e-09,3.162278e-05,1.581076e-07,3.146467e-05,99.500020
1.000000e-10,1.000000e-05,1.581076e-08,9.984189e-06,99.841892
